INFO  | 2019-01-27 15:57:43 |                | Order 16     | Status: packaging
INFO  | 2019-01-27 15:57:44 | Order Window 2 | Order 17     | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:44 | Order Window 4 | Order 20     | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:45 | Order Window 1 | Order 19     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:46 | Order Window 2 | Order 17     | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:57:46 |                | Order 17     | Status: ready
INFO  | 2019-01-27 15:57:46 | Order Window 3 | Order 16     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:46 | Order Window 2 | Order 17     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:46 | Order Window 2 | Order 21     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:46 | Order Window 4 | Order 20     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:57:46 |                | Pre-order 18 | 1 x McFlurry was packaged!
INFO  | 2019-01-27 15:57:47 | Order Window 1 | Order 19     | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:57:47 | Order Window 1 | Order 19     | Total price: 24.2
INFO  | 2019-01-27 15:57:47 |                | Order 19     | Status: packaging
INFO  | 2019-01-27 15:57:48 | Order Window 2 | Order 21     | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:57:48 | Order Window 4 | Order 20     | 1 x McChicken 4.3
INFO  | 2019-01-27 15:57:49 | Order Window 1 | Order 19     | 2 x McChicken was brought!
INFO  | 2019-01-27 15:57:49 |                | Pre-order 18 | 3 x Coca Cola was packaged!
INFO  | 2019-01-27 15:57:50 | Order Window 2 | Order 21     | 1 x Coca Cola 2.2
INFO  | 2019-01-27 15:57:50 | Order Window 2 | Order 21     | Total price: 4.0
INFO  | 2019-01-27 15:57:50 |                | Order 21     | Status: packaging
INFO  | 2019-01-27 15:57:50 | Order Window 4 | Order 20     | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:57:50 | Order Window 4 | Order 20     | Total price: 18.3
INFO  | 2019-01-27 15:57:50 |                | Order 20     | Status: packaging
INFO  | 2019-01-27 15:57:51 | Order Window 3 | Order 16     | 1 x McFlurry was brought!
INFO  | 2019-01-27 15:57:51 |                | Pre-order 18 | 2 x Hamburger was packaged!
INFO  | 2019-01-27 15:57:51 |                | Pre-order 18 | Status: ready
INFO  | 2019-01-27 15:57:51 | Order Window 2 | Pre-order 18 | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:51 |                | Pre-order 22 | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:57:51 |                | Pre-order 22 | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:51 |                | Pre-order 22 | Total price: 8.4
INFO  | 2019-01-27 15:57:51 |                | Pre-order 22 | Status: packaging
INFO  | 2019-01-27 15:57:52 | Order Window 2 | Order 21     | 1 x Hamburger was brought!
INFO  | 2019-01-27 15:57:53 | Order Window 1 | Order 19     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:53 | Order Window 3 | Order 16     | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:57:54 |                | Pre-order 22 | 3 x Coca Cola was packaged!
INFO  | 2019-01-27 15:57:55 | Order Window 2 | Order 21     | 1 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:55 |                | Order 21     | Status: ready
INFO  | 2019-01-27 15:57:55 | Order Window 2 | Order 21     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:55 | Order Window 3 | Order 16     | 1 x McChicken was brought!
INFO  | 2019-01-27 15:57:55 | Order Window 2 | Order 23     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:55 | Order Window 4 | Order 20     | 2 x McFlurry was brought!
INFO  | 2019-01-27 15:57:56 |                | Pre-order 22 | 1 x Hamburger was packaged!
INFO  | 2019-01-27 15:57:56 |                | Pre-order 22 | Status: ready
INFO  | 2019-01-27 15:57:56 | Order Window 2 | Pre-order 22 | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | 1 x McChicken 4.3
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | Total price: 19.9
INFO  | 2019-01-27 15:57:56 |                | Pre-order 24 | Status: packaging
INFO  | 2019-01-27 15:57:57 | Order Window 2 | Order 23     | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:58 | Order Window 1 | Order 19     | 2 x McFlurry was brought!
INFO  | 2019-01-27 15:57:58 | Order Window 4 | Order 20     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:59 | Order Window 3 | Order 16     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:59 |                | Order 16     | Status: ready
INFO  | 2019-01-27 15:57:59 | Order Window 2 | Order 23     | 2 x McChicken 8.6
INFO  | 2019-01-27 15:57:59 | Order Window 3 | Order 16     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:59 | Order Window 3 | Order 25     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:59 |                | Pre-order 24 | 3 x Coca Cola was packaged!
INFO  | 2019-01-27 15:58:00 | Order Window 4 | Order 20     | 1 x McChicken was brought!
INFO  | 2019-01-27 15:58:01 | Order Window 1 | Order 19     | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:58:01 |                | Order 19     | Status: ready
INFO  | 2019-01-27 15:58:01 | Order Window 1 | Order 19     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:58:01 | Order Window 1 | Order 26     | Hello! Make your order please!
INFO  | 2019-01-27 15:58:01 | Order Window 2 | Order 23     | 2 x French Fries 6.0
INFO  | 2019-01-27 15:58:01 | Order Window 3 | Order 25     | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:58:01 |                | Pre-order 24 | 1 x McChicken was packaged!
INFO  | 2019-01-27 15:58:02 | Order Window 4 | Order 20     | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:58:02 |                | Order 20     | Status: ready
INFO  | 2019-01-27 15:58:02 | Order Window 4 | Order 20     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:58:03 | Order Window 1 | Order 26     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:58:03 | Order Window 2 | Order 23     | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:58:03 | Order Window 2 | Order 23     | Total price: 27.2
INFO  | 2019-01-27 15:58:03 |                | Order 23     | Status: packaging
INFO  | 2019-01-27 15:58:03 | Order Window 3 | Order 25     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:58:05 | Order Window 1 | Order 26     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:58:05 | Order Window 1 | Order 26     | Total price: 7.4
INFO  | 2019-01-27 15:58:05 |                | Order 26     | Status: packaging
INFO  | 2019-01-27 15:58:05 | Order Window 2 | Order 23     | 2 x McChicken was brought!
INFO  | 2019-01-27 15:58:05 | Order Window 3 | Order 25     | 2 x McChicken 8.6
INFO  | 2019-01-27 15:58:05 |                | Pre-order 24 | 1 x French Fries was packaged!
INFO  | 2019-01-27 15:58:07 | Order Window 3 | Order 25     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:58:07 | Order Window 3 | Order 25     | Total price: 17.8
INFO  | 2019-01-27 15:58:07 |                | Order 25     | Status: packaging
INFO  | 2019-01-27 15:58:08 | Order Window 2 | Order 23     | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:58:09 | Order Window 1 | Order 26     | 1 x French Fries was brought!
INFO  | 2019-01-27 15:58:10 | Order Window 3 | Order 25     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:58:10 |                | Pre-order 24 | 2 x McFlurry was packaged!
INFO  | 2019-01-27 15:58:10 |                | Pre-order 24 | Status: ready
INFO  | 2019-01-27 15:58:10 | Order Window 4 | Pre-order 24 | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | 1 x Coca Cola 2.2
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | 2 x French Fries 6.0
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | Total price: 17.8
INFO  | 2019-01-27 15:58:10 |                | Pre-order 27 | Status: packaging
INFO  | 2019-01-27 15:58:12 | Order Window 2 | Order 23     | 2 x French Fries was brought!
INFO  | 2019-01-27 15:58:12 | Order Window 1 | Order 26     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:58:12 |                | Order 26     | Status: ready
INFO  | 2019-01-27 15:58:12 | Order Window 1 | Order 26     | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:58:12 | Order Window 1 | Order 28     | Hello! Make your order please!
INFO  | 2019-01-27 15:58:12 | Order Window 3 | Order 25     | 2 x McChicken was brought!
